product,rating,price,product url
"Redmi Book Pro Intel Core i5 11th Gen H Series 15.6-inch(39.62 cms) Thin and Light Laptop (8GB/512 GB SSD/Windows 10 Home) (Charcoal Gray, 1.8 kg, with MS Office)  ",3.9 out of 5 stars,"44,999",https://amazon.in/Redmi-15-6-inch-Laptop-Windows-Charcoal/dp/B09L53YH86/ref=sr_1_33?keywords=gaming+laptop&qid=1654580573&sr=8-33
"Lenovo Ideapad Gaming 3 AMD Ryzen 7 5800H 15.6"" FHD IPS Gaming Laptop (16GB/512GB SSD/Windows 11/Nvidia GTX 1650 4GB/120Hz Refresh Rate/Backlit/3months Xbox Game Pass/Shadow Black/2.25Kg), 82K200X2IN  ",4.4 out of 5 stars,"72,990",https://amazon.in/Lenovo-Ideapad-Windows-Refresh-82K200X2IN/dp/B09M3ZKH1T/ref=sr_1_34?keywords=gaming+laptop&qid=1654580573&sr=8-34
"MSI Modern 14, AMD Ryzen 5-5500U, 14"" FHD IPS-Level Panel Laptop (8GB/256GB NVMe SSD/Windows 10 Home/Radeon Graphics/Carbon Grey/1.3Kg), B5M-045IN  ",3.9 out of 5 stars,"42,490",https://amazon.in/MSI-Modern-14-IPS-Level-B5M-045IN/dp/B09N19ZMTP/ref=sr_1_35?keywords=gaming+laptop&qid=1654580573&sr=8-35
"Lenovo IdeaPad Gaming 3 Intel Core i7 10th Gen 15.6 inches FHD IPS 250Nits Gaming Laptop (8GB/512GB SSD/Windows 10 Home/NVIDIA GTX 1650 4GB GDDR6 Graphics/120Hz/Onyx Black/2.2Kg), 81Y4019EIN  ",3.6 out of 5 stars,"73,990",https://amazon.in/Lenovo-IdeaPad-250Nits-Graphics-81Y4019EIN/dp/B097TZMG7R/ref=sr_1_36?keywords=gaming+laptop&qid=1654580573&sr=8-36
"(Renewed) Lenovo Legion 5 Pro AMD Ryzen 7 5800H 16"" (40.64cm) WQXGA IPS Gaming Laptop (32GB/1TB SSD/8GB Nvidia RTX 3070 Graphics/165Hz Refresh Rate/Windows 10 SL/2.45Kg)  ",,"1,21,799",https://amazon.in/Renewed-Lenovo-40-64cm-Graphics-Refresh/dp/B0B2RRZNDZ/ref=sr_1_37?keywords=gaming+laptop&qid=1654580573&sr=8-37
"HP Pavilion AMD Ryzen 5-4600H 15.6 inches 144 Hz FHD Screen Gaming Laptop (8 GB RAM, 4 GB NVIDIA 1650ti Graphics, 1TB HDD + 256GB SSD GB SSD, Win 10 Home with Advanced Thermal Management, 1.98Kg)  ",4.7 out of 5 stars,"64,600",https://amazon.in/HP-Pavilion-15-6-inch-5-4600H-15-ec1050AX/dp/B08CZ2KNS6/ref=sr_1_38?keywords=gaming+laptop&qid=1654580573&sr=8-38
"ASUS ROG Zephyrus G14 (2021) 14-inch (35.56 cms) QHD 120Hz, AMD Ryzen 9 5900HS, RTX 3060 6GB Graphics, Gaming Laptop (16GB/1TB SSD/Office 2019/Windows 10/White/Anime Matrix/1.7 Kg), GA401QM-K2330TS, Moonlight White AniMe Matrix version  ",4.7 out of 5 stars,"1,29,990",https://amazon.in/ASUS-Zephyrus-RTX-3060-Graphics-GA401QM-K2330TS/dp/B09CCRBRW6/ref=sr_1_39?keywords=gaming+laptop&qid=1654580573&sr=8-39
"ASUS TUF Gaming F15 (2021) 15.6-inch (39.62 cms) FHD 144Hz, Intel Core i7-11800H 11th Gen, RTX 3050 4GB Graphics, Gaming Laptop (8GB/1TB SSD/Windows 10/Gray/2.3 Kg), FX566HCB-HN231T, Eclipse Gray  ",4.5 out of 5 stars,"92,990",https://amazon.in/ASUS-15-6-inch-i7-11800H-RTX-3050-FX566HCB-HN231T/dp/B09CCQ2TS5/ref=sr_1_40?keywords=gaming+laptop&qid=1654580573&sr=8-40
"ASUS TUF Gaming F17 (2022), 17.3-inch (43.94 cms) FHD 144Hz, Intel Core i7-12700H 12th Gen, RTX 3060 6GB Graphics, Gaming Laptop (16GB/1TB SSD/Windows 11/Office 2021/Gray/2.6 Kg), FX707ZM-HX030WS  ",3.3 out of 5 stars,"1,37,990",https://amazon.in/ASUS-17-3-inch-i7-12700H-Office-2021-FX707ZM-HX030WS/dp/B09TPH28X1/ref=sr_1_41?keywords=gaming+laptop&qid=1654580573&sr=8-41
"ASUS ROG Strix G17 (2022), 17.3"" (43.94 cms) FHD 360Hz/3ms, AMD Ryzen 7-6800H, RTX 3060 6GB Graphics, Gaming Laptop (16GB/1TB SSD/Windows 11/Office 2021/Green/2.9 kg), G713RM-KH168WS, Volt Green  ",,"1,43,990",https://amazon.in/ASUS-7-6800H-RTX-3060-Graphics-G713RM-KH168WS/dp/B09X5GBPPM/ref=sr_1_42?keywords=gaming+laptop&qid=1654580573&sr=8-42
"Dell G5 AMD Ryzen 5-4600H, 8GB DDR4, 512GB SSD, Windows 10, AMD RX5600M 6GB GDDR6 Graphics, 15.6 Inches FHD AG 250 nits 120Hz, Red Backlit KB, Gaming Laptop -Silver (G5 5505, D560243HIN9S), 1.83kg  ",3.9 out of 5 stars,"59,990",https://amazon.in/Dell-5-4600H-Display-Graphics-D560243HIN9S/dp/B08X4NF6M4/ref=sr_1_43?keywords=gaming+laptop&qid=1654580573&sr=8-43
"ASUS TUF Gaming F15 (2022), 15.6"" (39.62 cms) FHD 144Hz, Intel Core i7-12700H 12th Gen, RTX 3050 Ti 4GB Graphics, Gaming Laptop (16GB/512GB SSD/Windows 11/Gray/2.2 kg), FX577ZE-HN056W  ",5.0 out of 5 stars,"1,09,990",https://amazon.in/ASUS-i7-12700H-RTX-3050-Ti-Graphics-FX577ZE-HN056W/dp/B09WBZS834/ref=sr_1_44?keywords=gaming+laptop&qid=1654580573&sr=8-44
"ASUS ROG Zephyrus G14 (2021) 14-inch (35.56 cms) QHD 120Hz, AMD Ryzen 9 5900HS, RTX 3060 6GB Graphics, Gaming Laptop (16GB/1TB SSD/Office 2019/Windows 10/Gray/Anime Matrix/1.7 Kg), GA401QM-K2331TS  ",4.4 out of 5 stars,"1,29,990",https://amazon.in/ASUS-Zephyrus-RTX-3060-Graphics-GA401QM-K2331TS/dp/B09CCMBHH1/ref=sr_1_45?keywords=gaming+laptop&qid=1654580573&sr=8-45
"Dell New G15 5511 Gaming Laptop, Intel i5-11260H, 8GB. 512GB SSD, NVIDIA RTX 3050 (4GB GDDR6), 15.6"" (39.62Cms) FHD WVA AG 250 nits 120Hz, Backlit KB Orange, Dark Shadow Grey, 2.65Kgs (D560825WIN9B)  ",4.1 out of 5 stars,"69,490",https://amazon.in/Dell-i5-11260H-39-62Cms-Backlit-D560825WIN9B/dp/B09XX4B9DL/ref=sr_1_46?keywords=gaming+laptop&qid=1654580573&sr=8-46
"Lenovo Legion 5 AMD Ryzen 7 5800H 15.6"" FHD 300Nits Gaming Laptop(16GB/512 SSD/RTX 3050 4GB GDDR6 Graphics/Windows 11/Office 2021/RGB Backlit/165Hz/Phantom Blue/2.4Kg),82JW00E2IN  ",3.0 out of 5 stars,"97,990",https://amazon.in/Lenovo-300Nits-Graphics-Windows-82JW00E2IN/dp/B09P1K1VDR/ref=sr_1_47?keywords=gaming+laptop&qid=1654580573&sr=8-47
"MSI GF63 Intel Hexa Core i5 10th Gen 15.6 inches Thin Gaming Laptop (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max Q/60 Hz, GF63 Thin 10SCXR-1616IN, Black, 1.86 KG)  ",4.0 out of 5 stars,"58,990",https://amazon.in/MSI-GF63-Thin-Graphics-10SCXR-1616IN/dp/B09FP491SB/ref=sr_1_48?keywords=gaming+laptop&qid=1654580573&sr=8-48
