product,rating,rating count,price,product url
"Zep Air and Fabric Odor Eliminator - 32 Ounces (Pack of 2) ZUAIR32 - Refresh Your Home, Office and Business  ",4.6 out of 5 stars,"1,578  ",18.0,https://amazon.com/Zep-Fabric-Odor-Eliminator-Ounce/dp/B07M59CCR2/ref=sr_1_3?keywords=zep&qid=1654500072&sr=8-3
"Zep Commercial Antimicrobial Hand Soap, 1 Gallon, R46124  ",5.0 out of 5 stars,6  ,18.02,https://amazon.com/Zep-Commercial-Antimicrobial-Gallon-R46124/dp/B08XZTDCWK/ref=sr_1_8?keywords=zep&qid=1654500072&sr=8-8
"[2 Pack] Pumice Stone Toilet Bowl Cleaner with Extra Long Handle - Limescale Remover - Pumice Toilet Brush - Also Cleans BBQ Grills, Tiles, Tile Grout, & Swimming Pools by Impresa  ",4.6 out of 5 stars,"5,260  ",14.44,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0363968O7VCS1AM6P60&url=%2FIMPRESA-Pumice-Toilet-Cleaner-Handle%2Fdp%2FB07YN9CXXQ%2Fref%3Dsr_1_9_sspa%3Fkeywords%3Dzep%26qid%3D1654500072%26sr%3D8-9-spons%26psc%3D1&qualifier=1654500072&id=4479828152993556&widgetName=sp_mtf
"FAYINA Grout Cleaner Scrub Brush Deep Tile Joints - Stiff Angled Bristles for Showers, Bathtubs, Kitchens - Multi-Surface All-Around Household Cleaning Tool  ",4.5 out of 5 stars,"1,159  ",7.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04657472D3CAX4XPTP2Y&url=%2FFAYINA-Grout-Cleaner-Joints-Scrubber%2Fdp%2FB08WM2YB9L%2Fref%3Dsr_1_14_sspa%3Fkeywords%3Dzep%26qid%3D1654500072%26sr%3D8-14-spons%26psc%3D1&qualifier=1654500072&id=4479828152993556&widgetName=sp_mtf
"Leak-Free, Chemical Resistant Spray Head 5 Pack Industrial Spray Heads ONLY. Bottles NOT INCL. for Auto/Car Detailing, Window Cleaning and Janitorial Supply. Heavy Duty Low-Fatigue Trigger and Nozzle…  ",4.4 out of 5 stars,703  ,16.28,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08008572AUIF6B5GCF90&url=%2FMop-Mob-Industrial-Janitorial-Low-Fatigue%2Fdp%2FB07BFG8ZHK%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Dzep%26qid%3D1654500072%26sr%3D8-19-spons%26psc%3D1&qualifier=1654500072&id=4479828152993556&widgetName=sp_btf
"Wypall - KCC34790CT X60 Reusable Cloths (34790) in Convenient Pop-Up Box, White, 10 Boxes / Case, 126 Sheets / Box  ",4.8 out of 5 stars,583  ,80.9,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00194912H24A01R9S3F&url=%2FWypall-KCC34790CT-Reusable-Cloths-Convenient%2Fdp%2FB0040ZOF9S%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dzep%26qid%3D1654500072%26sr%3D8-20-spons%26psc%3D1&qualifier=1654500072&id=4479828152993556&widgetName=sp_btf
"YOUKADA Electric Spin Scrubber, Cordless Super Power Scrubber, Cleaning Brush for Kitchen, Bathroom, Living Room (Blue)  ",4.1 out of 5 stars,"3,509  ",49.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0080409L7CQ0TLJD1N8&url=%2FYOUKADA-Electric-Scrubber-Replaceable-Extension%2Fdp%2FB07S6M7FWH%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dzep%26qid%3D1654500072%26sr%3D8-21-spons%26psc%3D1%26smid%3DADZCYW65MYSMT&qualifier=1654500072&id=4479828152993556&widgetName=sp_btf
"Leak-Free, Chemical Resistant Spray Head 5 Pack Industrial Spray Heads ONLY. Bottles NOT INCL. for Auto/Car Detailing, Window Cleaning and Janitorial Supply. Heavy Duty Low-Fatigue Trigger and Nozzle…  ",4.4 out of 5 stars,703  ,16.28,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08008572AUIF6B5GCF90&qualifier=1654500074&id=8623453359606883&widgetName=sp_atf_next&url=%2FMop-Mob-Industrial-Janitorial-Low-Fatigue%2Fdp%2FB07BFG8ZHK%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dzep%26qid%3D1654500074%26sr%3D8-17-spons%26psc%3D1
"FAYINA Grout Cleaner Scrub Brush Deep Tile Joints - Stiff Angled Bristles for Showers, Bathtubs, Kitchens - Multi-Surface All-Around Household Cleaning Tool  ",4.5 out of 5 stars,"1,159  ",7.99,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A04657472D3CAX4XPTP2Y&qualifier=1654500074&id=8623453359606883&widgetName=sp_atf_next&url=%2FFAYINA-Grout-Cleaner-Joints-Scrubber%2Fdp%2FB08WM2YB9L%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dzep%26qid%3D1654500074%26sr%3D8-18-spons%26psc%3D1
"[2 Pack] Pumice Stone Toilet Bowl Cleaner with Extra Long Handle - Limescale Remover - Pumice Toilet Brush - Also Cleans BBQ Grills, Tiles, Tile Grout, & Swimming Pools by Impresa  ",4.6 out of 5 stars,"5,260  ",14.44,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0363968O7VCS1AM6P60&qualifier=1654500074&id=8623453359606883&widgetName=sp_mtf&url=%2FIMPRESA-Pumice-Toilet-Cleaner-Handle%2Fdp%2FB07YN9CXXQ%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dzep%26qid%3D1654500074%26sr%3D8-27-spons%26psc%3D1
